Riesgo,Vulnerabilidad,Tipo,Tecnología,Descripción,Solución,Archivos afectados,Línea afectada,CWE
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/Llistes.js,253,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/Llistes.js,254,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/Llistes.js,261,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/Llistes.js,263,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/Llistes.js,265,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/MetadadesTipusdoc.js,79,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/MetadadesTipusdoc.js,185,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/MetadadesTipusdoc.js,207,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/MetadadesTipusdoc.js,217,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/MetadadesTipusdoc.js,218,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/MetadadesTipusdoc.js,218,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/ValidacionsExternesTipusdoc.js,74,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/ValidacionsExternesTipusdoc.js,189,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/ValidacionsExternesTipusdoc.js,225,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/ValidacionsExternesTipusdoc.js,235,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/ValidacionsExternesTipusdoc.js,236,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/scvv/ValidacionsExternesTipusdoc.js,236,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,83,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,84,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,85,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,88,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,92,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,95,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,99,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,106,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,107,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,118,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,118,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,165,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,179,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,242,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,243,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,244,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,281,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,636,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptDOM.js,691,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptIE4.js,79,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptIE4.js,80,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptIE4.js,81,CWE-95
MEDIUM,rce,,,Make sure that this dynamic injection or execution of code is safe.,"Recommended Secure Coding PracticesRegarding the execution of unknown code, the best solution is to not run code provided by an untrusted source. If you really need to do it, run thecode in a sandboxed environment. Use jails, firewalls and whatever means youroperating system and programming language provide (example: Security Managers in java, iframes and same-originpolicy for javascript in a web browser).Do not try to create a blacklist of dangerous code. It is impossible to cover all attacks that way.Avoid using dynamic code APIs whenever possible. Hard-coded code is always safer.See   OWASP Top 10 2017 Category A1 - Injection    MITRE CWE-95 - Improper Neutralization of Directives in Dynamically Evaluated Code  ('Eval Injection') ",CIBERSEG:src/main/webapp/scripts/struts-layout/HM_ScriptIE4.js,84,CWE-95
